,file,image_height,image_width,class_name,cx,cy,bbox_w,bbox_h,cx_new,cy_new,bbox_w_new,bbox_h_new,bbox_w_new_log,bbox_h_new_log
0,s12\worker_dataset\3.jpg,1333,2000,hardhat,915,248,124,112,0.4575,0.18604651162790697,0.062,0.08402100525131283,-2.7806208939370456,-2.476688448883614
1,s12\worker_dataset\3.jpg,1333,2000,vest,889,411,170,275,0.4445,0.3083270817704426,0.085,0.20630157539384847,-2.4651040224918206,-1.5784162225121374
2,s12\worker_dataset\3.jpg,1333,2000,boots,845,1068,71,114,0.4225,0.8012003000750187,0.0355,0.08552138034508627,-3.338222582500767,-2.458988871784213
3,s12\worker_dataset\3.jpg,1333,2000,boots,1001,1059,121,73,0.5005,0.7944486121530383,0.0605,0.05476369092273068,-2.8051119139453413,-2.9047278790303177
4,s12\worker_dataset\3.jpg,1333,2000,hardhat,1202,332,111,98,0.601,0.2490622655663916,0.0555,0.07351837959489872,-2.8913722582297483,-2.610219841508137
5,s12\worker_dataset\3.jpg,1333,2000,hardhat,1362,341,118,68,0.681,0.2558139534883721,0.059,0.05101275318829707,-2.8302178350764176,-2.975679615002602
6,s12\worker_dataset\3.jpg,1333,2000,hardhat,1476,277,146,96,0.738,0.2078019504876219,0.073,0.07201800450112528,-2.617295837833746,-2.6308391287108726
7,s12\worker_dataset\3.jpg,1333,2000,boots,1333,1107,151,98,0.6665,0.8304576144036009,0.0755,0.07351837959489872,-2.583622622727158,-2.610219841508137
8,s12\worker_dataset\3.jpg,1333,2000,boots,1228,1145,63,44,0.614,0.8589647411852963,0.0315,0.033008252063015754,-3.4577677331505496,-3.4109976862604476
9,s12\worker_dataset\3.jpg,1333,2000,boots,1079,1138,102,32,0.5395,0.8537134283570893,0.051,0.024006001500375095,-2.9759296462578115,-3.729451417378982
10,s12\worker_dataset\3.jpg,1333,2000,boots,1471,1181,169,90,0.7355,0.8859714928732183,0.0845,0.06751687921980495,-2.4710037446190087,-2.6953776498484436
11,s12\worker_dataset\3.jpg,1333,2000,vest,1537,475,191,318,0.7685,0.3563390847711928,0.0955,0.2385596399099775,-2.3486290314954523,-1.4331359373985317
12,s12\worker_dataset\3.jpg,1333,2000,vest,1378,504,137,265,0.689,0.37809452363090773,0.0685,0.19879969992498125,-2.6809215337139576,-1.6154574941924864
13,s12\worker_dataset\4.jpg,1303,1536,hardhat,406,266,193,122,0.2643229166666667,0.20414428242517269,0.12565104166666666,0.09363008442056792,-2.074246724802732,-2.3684035323915884
14,s12\worker_dataset\4.jpg,1303,1536,hardhat,152,342,96,59,0.09895833333333333,0.2624712202609363,0.0625,0.04528012279355334,-2.772588722239781,-3.0948871332191255
15,s12\worker_dataset\4.jpg,1303,1536,hardhat,260,364,63,44,0.16927083333333334,0.27935533384497313,0.041015625,0.03376822716807368,-3.1938021873160847,-3.3882349432065837
16,s12\worker_dataset\4.jpg,1303,1536,hardhat,657,361,42,23,0.427734375,0.27705295471987723,0.02734375,0.017651573292402148,-3.5992672954242493,-4.0369303611956955
17,s12\worker_dataset\4.jpg,1303,1536,hardhat,748,360,36,26,0.4869791666666667,0.2762854950115119,0.0234375,0.019953952417498082,-3.7534179752515073,-3.914328039103363
18,s12\worker_dataset\4.jpg,1303,1536,hardhat,1018,348,36,24,0.6627604166666666,0.2670759785111282,0.0234375,0.01841903300076746,-3.7534179752515073,-3.9943707467768994
19,s12\worker_dataset\4.jpg,1303,1536,hardhat,1334,325,38,35,0.8684895833333334,0.24942440521872603,0.024739583333333332,0.02686108979278588,-3.6993507539812316,-3.617076515635431
20,s12\worker_dataset\4.jpg,1303,1536,boots,1297,579,23,18,0.8444010416666666,0.444359171143515,0.014973958333333334,0.013814274750575594,-4.201442697778468,-4.282052819228681
21,s12\worker_dataset\4.jpg,1303,1536,boots,1336,582,21,12,0.8697916666666666,0.4466615502686109,0.013671875,0.00920951650038373,-4.292414475984194,-4.687517927336844
22,s12\worker_dataset\4.jpg,1303,1536,boots,1046,552,26,35,0.6809895833333334,0.42363775901765155,0.016927083333333332,0.02686108979278588,-4.078840375686135,-3.617076515635431
23,s12\worker_dataset\4.jpg,1303,1536,boots,1005,560,21,24,0.654296875,0.4297774366845741,0.013671875,0.01841903300076746,-4.292414475984194,-3.9943707467768994
24,s12\worker_dataset\4.jpg,1303,1536,boots,656,540,23,47,0.4270833333333333,0.41442824251726784,0.014973958333333334,0.03607060629316961,-4.201442697778468,-3.3222769754147863
25,s12\worker_dataset\4.jpg,1303,1536,boots,700,537,33,48,0.4557291666666667,0.4121258633921719,0.021484375,0.03683806600153492,-3.8404293522411375,-3.301223566216954
26,s12\worker_dataset\4.jpg,1303,1536,boots,431,1098,145,186,0.2805989583333333,0.8426707597851113,0.09440104166666667,0.1427475057559478,-2.360203171287043,-1.946677903411644
27,s12\worker_dataset\4.jpg,1303,1536,boots,344,1075,87,162,0.22395833333333334,0.8250191864927091,0.056640625,0.12432847275518036,-2.8710287950530335,-2.084828241892461
28,s12\worker_dataset\4.jpg,1303,1536,boots,229,834,50,65,0.14908854166666666,0.6400613967766692,0.032552083333333336,0.0498848810437452,-3.4249139082794713,-2.998037307229208
29,s12\worker_dataset\4.jpg,1303,1536,vest,316,450,229,350,0.20572916666666666,0.34535686876438987,0.14908854166666666,0.2686108979278588,-1.903214910153378,-1.3144914226413857
